File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lto-llvm-d97ef7.o,74.962593%,47096,50571,43200,3697,199,50372
mc_w.l,10.156623%,6381,12,6236,133,12,0
printfa.o,3.711839%,2332,0,2332,0,0,0
mf_w.l,1.999172%,1256,0,1256,0,0,0
scanf_fp.o,1.397511%,878,0,878,0,0,0
_scanf.o,1.292459%,812,0,812,0,0,0
startup_at32f403a_407.o,0.674880%,424,1024,36,388,0,1024
_scanf_longlong.o,0.544361%,342,0,342,0,0,0
dadd.o,0.531627%,334,0,334,0,0,0
_scanf_int.o,0.528444%,332,0,332,0,0,0
dmul.o,0.362907%,228,0,228,0,0,0
_scanf_str.o,0.356540%,224,0,224,0,0,0
ddiv.o,0.353357%,222,0,222,0,0,0
depilogue.o,0.296056%,186,0,186,0,0,0
_strtoul.o,0.251488%,158,0,158,0,0,0
ctype_o.o,0.224429%,141,0,8,133,0,0
strtol.o,0.178270%,112,0,112,0,0,0
fepilogue.o,0.175087%,110,0,110,0,0,0
uldiv.o,0.155986%,98,0,98,0,0,0
ldiv.o,0.155986%,98,0,98,0,0,0
strtok.o,0.114602%,72,4,68,0,4,0
_sgetc.o,0.101869%,64,0,64,0,0,0
d2f.o,0.089135%,56,0,56,0,0,0
sscanf.o,0.089135%,56,0,56,0,0,0
dfixul.o,0.076401%,48,0,48,0,0,0
cdrcmple.o,0.076401%,48,0,48,0,0,0
init.o,0.076401%,48,0,48,0,0,0
uidiv.o,0.070035%,44,0,44,0,0,0
scanf_char.o,0.063668%,40,0,40,0,0,0
cpp_init.o,0.063668%,40,0,40,0,0,0
strstr.o,0.057301%,36,0,36,0,0,0
memseta.o,0.057301%,36,0,36,0,0,0
memcpya.o,0.057301%,36,0,36,0,0,0
llsshr.o,0.057301%,36,0,36,0,0,0
llushr.o,0.050934%,32,0,32,0,0,0
systick_wrapper_gnu.o,0.050934%,32,0,32,0,0,0
strncmp.o,0.047751%,30,0,30,0,0,0
llshl.o,0.047751%,30,0,30,0,0,0
handlers.o,0.047751%,30,0,30,0,0,0
strcmp.o,0.044568%,28,0,28,0,0,0
_chval.o,0.044568%,28,0,28,0,0,0
memcmp.o,0.041384%,26,0,26,0,0,0
atoi.o,0.041384%,26,0,26,0,0,0
dfltul.o,0.038201%,24,0,24,0,0,0
strncpy.o,0.038201%,24,0,24,0,0,0
strchr.o,0.031834%,20,0,20,0,0,0
isspace_o.o,0.028651%,18,0,18,0,0,0
strlen.o,0.022284%,14,0,14,0,0,0
errno.o,0.019100%,12,4,8,0,4,0
entry9a.o,0.012734%,8,0,8,0,0,0
entry2.o,0.012734%,8,0,8,0,0,0
stdout.o,0.006367%,4,4,0,0,4,0
entry8a.o,0.006367%,4,0,4,0,0,0
entry5.o,0.006367%,4,0,4,0,0,0
